filename,misspelt_word,candidates
IMG_8610_cropped_cleaned_ocr.txt,xanthangum,lanthanum
IMG_8610_cropped_cleaned_ocr.txt,ingredientswater,
IMG_8611_cropped_cleaned_ocr.txt,eriie,"ernie,erie"
IMG_8611_cropped_cleaned_ocr.txt,anleraen,"andersen,allergen"
IMG_8611_cropped_cleaned_ocr.txt,siaa,"siam,siva,sita,sian,sima,sika"
IMG_8611_cropped_cleaned_ocr.txt,aem,"dem,sem,lem,em,aim,am,ahem,arm,adm,hem,gem"
IMG_8614_cropped_cleaned_ocr.txt,potassiumtaiulpititmacotainraceofnupeauoy,
IMG_8614_cropped_cleaned_ocr.txt,elourualcaciumcarbontrasing,
IMG_8614_cropped_cleaned_ocr.txt,gbaiiiarslapeudiscuitstorch,
IMG_8614_cropped_cleaned_ocr.txt,agentsallaourcolounenixnts,
IMG_9077_cropped_cleaned_ocr.txt,oliveoil,
IMG_9077_cropped_cleaned_ocr.txt,guar,"gear,gur,guars,guard,guam,guan,gaur,guat,gar"
IMG_9077_cropped_cleaned_ocr.txt,blackolive,
IMG_9077_cropped_cleaned_ocr.txt,ingredienscornishsardines,
IMG_9077_cropped_cleaned_ocr.txt,sundried,sundries
IMG_9077_cropped_cleaned_ocr.txt,andcapersaucewithchiil,
IMG_9078_cropped_cleaned_ocr.txt,flavourings,flavorings
IMG_9078_cropped_cleaned_ocr.txt,maltodextrin,
IMG_9078_cropped_cleaned_ocr.txt,palmoil,parboil
IMG_9078_cropped_cleaned_ocr.txt,guar,"gear,gur,guars,guard,guam,guan,gaur,guat,gar"
IMG_9078_cropped_cleaned_ocr.txt,driedcarrot,
IMG_9078_cropped_cleaned_ocr.txt,vegetableoils,
IMG_9078_cropped_cleaned_ocr.txt,beeffat,beermat
IMG_9078_cropped_cleaned_ocr.txt,colour,color
IMG_9078_cropped_cleaned_ocr.txt,plaincaramel,
IMG_9078_cropped_cleaned_ocr.txt,croutons,"croûtons,crotons"
IMG_9078_cropped_cleaned_ocr.txt,skimmedmilk,
IMG_9079_cropped_cleaned_ocr.txt,exrctsoll,
IMG_9079_cropped_cleaned_ocr.txt,cickenowder,
IMG_9079_cropped_cleaned_ocr.txt,cckeanoxanxc,
IMG_9079_cropped_cleaned_ocr.txt,trmeroa,tamera
IMG_9079_cropped_cleaned_ocr.txt,antioxicororre,
IMG_9079_cropped_cleaned_ocr.txt,iodisealest,
IMG_9079_cropped_cleaned_ocr.txt,tlaael,"label,tavel,travel,teazel,tael,teasel,taal,lapel"
IMG_9079_cropped_cleaned_ocr.txt,inreiarcrou,
IMG_9079_cropped_cleaned_ocr.txt,chickenal,"chicken's,chicken,chickens,chickened"
IMG_9079_cropped_cleaned_ocr.txt,chickenat,"chickens,chickened,chicken's,chimkent,chicken"
IMG_9080_cropped_cleaned_ocr.txt,drid,"rid,did,drin,druid,arid,grid,drip,dried"
IMG_9081_cropped_cleaned_ocr.txt,eluargrlic,
IMG_9081_cropped_cleaned_ocr.txt,ureecoaer,
IMG_9081_cropped_cleaned_ocr.txt,nuglic,"ugli,puglia,public,ugric,nucleic,hugli,neglig,aulic"
IMG_9081_cropped_cleaned_ocr.txt,lill,"will,lilt,kill,hill,dill,lull,lille,mill,ill,fill,lilly,bill,gill,lila,lilo,till,jill,pill,loll,sill,lily,rill"
IMG_9082_cropped_cleaned_ocr.txt,flavourings,flavorings
IMG_9082_cropped_cleaned_ocr.txt,diglycerides,"glycerides,triglycerides"
IMG_9082_cropped_cleaned_ocr.txt,maltodextrin,
IMG_9082_cropped_cleaned_ocr.txt,colours,colors
IMG_9082_cropped_cleaned_ocr.txt,fiour,"flour,four"
IMG_9083_cropped_cleaned_ocr.txt,leafblack,
IMG_9083_cropped_cleaned_ocr.txt,rosemarythyme,
