image,char_edit,char_edit_norm,char_ratio,char_ratio_norm,cer,cac,word_edit,word_ratio,wer,wac
IMG_8608,107,28,0.7323340471092077,0.9253731343283582,0.1308411214953271,0.8691588785046729,20,0.4528301886792453,0.625,0.375
IMG_8610,60,14,0.8549905838041432,0.969939879759519,0.0546875,0.9453125,22,0.40740740740740744,0.6666666666666666,0.33333333333333337
IMG_8611,54,44,0.2727272727272727,0.375,0.7586206896551724,0.24137931034482762,8,0.0,1.0,0.0
IMG_8614,116,97,0.6086956521739131,0.6729559748427674,0.5300546448087432,0.4699453551912568,28,0.0,1.0,0.0
IMG_9077,74,29,0.7904967602591793,0.9315068493150684,0.1380952380952381,0.861904761904762,8,0.7796610169491526,0.25806451612903225,0.7419354838709677
IMG_9078,126,10,0.7980769230769231,0.9813829787234043,0.026385224274406333,0.9736147757255936,12,0.8269230769230769,0.21818181818181817,0.7818181818181819
IMG_9079,356,289,0.3715277777777778,0.43052837573385516,0.7243107769423559,0.2756892230576441,54,0.08823529411764708,0.9473684210526315,0.052631578947368474
IMG_9080,38,3,0.8417910447761194,0.9904761904761905,0.018867924528301886,0.9811320754716981,2,0.9130434782608696,0.08695652173913043,0.9130434782608696
IMG_9081,132,62,0.7304075235109717,0.8885191347753744,0.1884498480243161,0.8115501519756839,15,0.7692307692307692,0.3,0.7
IMG_9082,96,6,0.8424581005586592,0.9917355371900827,0.014150943396226415,0.9858490566037735,4,0.9333333333333333,0.06666666666666667,0.9333333333333333
IMG_9083,28,5,0.8300395256916996,0.970954356846473,0.040983606557377046,0.9590163934426229,6,0.7428571428571429,0.3157894736842105,0.6842105263157895
IMG_9084,312,255,0.43291592128801426,0.4920634920634921,0.6728232189973615,0.3271767810026385,51,0.031746031746031744,0.9807692307692307,0.019230769230769273
IMG_9086,86,4,0.790528233151184,0.9857433808553971,0.016260162601626018,0.983739837398374,3,0.927536231884058,0.08571428571428572,0.9142857142857143
IMG_9087,32,6,0.8709677419354839,0.9805013927576601,0.03296703296703297,0.967032967032967,8,0.7317073170731707,0.34782608695652173,0.6521739130434783
IMG_9088,31,0,0.8647214854111406,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_9089,150,103,0.6610878661087867,0.7551487414187643,0.3843283582089552,0.6156716417910448,37,0.1454545454545455,0.9024390243902439,0.09756097560975607
IMG_9091,68,30,0.7853107344632768,0.906832298136646,0.17045454545454544,0.8295454545454546,18,0.3783783783783784,0.72,0.28
IMG_9093,68,29,0.8105515587529977,0.9226804123711341,0.13942307692307693,0.8605769230769231,22,0.3555555555555555,0.7333333333333333,0.2666666666666667
IMG_9094,5,0,0.8823529411764706,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_9096,50,0,0.8533333333333333,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_9099,498,421,0.4361581920903955,0.4783147459727385,0.6856677524429967,0.3143322475570033,86,0.0,1.0,0.0
IMG_9140,12,0,0.8163265306122449,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_9141,164,80,0.8181818181818181,0.9167502507522568,0.148975791433892,0.8510242085661079,59,0.28037383177570097,0.7972972972972973,0.20270270270270274
IMG_9147,49,4,0.7727272727272727,0.9824561403508771,0.034482758620689655,0.9655172413793104,7,0.6666666666666667,0.4117647058823529,0.5882352941176471
IMG_9148,46,1,0.8409090909090909,0.9976133651551312,0.004761904761904762,0.9952380952380953,2,0.9491525423728814,0.06666666666666667,0.9333333333333333
IMG_9151,18,3,0.850828729281768,0.9826589595375722,0.03409090909090909,0.9659090909090909,2,0.8571428571428572,0.18181818181818182,0.8181818181818181
IMG_9155,21,4,0.8260869565217391,0.9714285714285714,0.0449438202247191,0.9550561797752809,3,0.782608695652174,0.25,0.75
IMG_9156,8,0,0.7777777777777778,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_9163,12,0,0.8671328671328671,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_9164,182,158,0.23140495867768596,0.273972602739726,0.8404255319148937,0.15957446808510634,23,0.0714285714285714,0.9583333333333334,0.04166666666666663
